geography,subsector,elec_heating,elec_cooling,elec_water_heating,elec_ventilation,elec_cooking,elec_lighting,elec_refrigeration,elec_office_equip_pcs,elec_office_equip_nonpcs,elec_other,ng_heating,ng_cooling,ng_water_heating,ng_cooking,ng_other,fuel_oil_heating,fuel_oil_cooling,fuel_oil_water_heating,fuel_oil_other
new_england,merc_service,-0.011386643,0.018116139,-0.002076612,0.00284741,0.002167714,-0.011037405,0.005626203,0.002446665,0.027692954,0.027641566,0.000518005,0.0149332,0.010078819,0.01765774,0.000640825,-0.002183818,0,0.005713811,0.008571158
new_england,office_large,-0.012419121,0.008205989,-0.00516761,-0.010292666,0.002018864,-0.014870322,0.006545025,0.002607625,0.027855577,0.011617544,-0.004217226,-0.022175072,0.00660399,0.00972933,0.027000617,-0.012883286,0,0,0.009405608
new_england,office_small,-0.010513968,0.004024516,-0.003856683,-0.010875974,0.001106346,-0.015688022,0.003529936,0.001539104,0.026759893,0.005809718,-0.004375386,-0.012904143,0.004151009,0.007130554,0.042640964,-0.011231416,0,0,0.008117882
new_england,other,-0.010255872,0.004951347,-0.001797441,-0.007019811,0.003870407,-0.013069021,0.005736308,0.005555378,0.030882162,0.015635932,-0.002718149,0,0.010104201,0.067140401,0.166639368,-0.01261721,0,0,0.012751399
new_england,warehouse,-0.007841202,0.009836162,-0.002816757,-0.007325363,0.001301033,-0.010690043,0.008368019,0.004543744,0.029837283,0.011196712,-0.000148541,0,0.010665405,0.017309244,0.011499982,-0.007033881,0,0,0.011474298
pacific,assembly,-0.024392603,0.005753482,-0.009438486,-0.012737008,-0.006737848,-0.022499224,0.002730274,-0.00172441,0.023414266,0.002727203,-0.00697259,-0.029271127,0.005724,0.011077627,0,0,0,0,0.00523409
pacific,education,-0.016477109,0.001843895,-0.010833298,-0.007226305,-0.007696513,-0.010332999,0.00390551,0.002471702,0.027723508,0.004082884,0.002789722,-0.031301006,0.007483792,0.023687925,-0.002712848,0,0,0,0
pacific,food_sales,-0.006948979,0.006935776,-0.005681348,-0.0092672,0.000201851,-0.011063677,0.00735977,0.002128934,0.027185861,0.00648809,-0.001456928,-0.024338223,0.007414502,0.013686545,0,0,0,0,0
pacific,food_service,-0.008429116,9.98E-03,-0.009396216,-0.009445805,-0.000808245,-0.011110032,0.00319477,0.001988625,0.027201194,0.006296628,0.000169208,-0.030067313,0.005469892,0.014294292,0,0,0,0,0.008418487
pacific,health_care,-0.010151927,0.006542969,-0.006948979,-0.003003856,-0.000779362,-0.00848034,0.006992031,0.00418445,0.029471549,0.005047775,0.003728337,0,0.009593872,0.016757942,0.01116628,-0.012590848,0,0,0.010834538
pacific,lodging,-0.009295382,0.00902072,-0.008488104,-0.007003514,-0.00118557,-0.014421086,0.006347879,0.003276837,0.028537035,0.009064965,0.003382112,0,0.007263317,0.023110304,0.005739167,0,0,0,0.009874357
