id,name,state
G08053,Hinsdale County,CO
G08055,Huerfano County,CO
G08057,Jackson County,CO
G08059,Jefferson County,CO
G08061,Kiowa County,CO
G08063,Kit Carson County,CO
G08065,Lake County,CO
G08067,La Plata County,CO
G08069,Larimer County,CO
G08071,Las Animas County,CO
G08073,Lincoln County,CO
G08075,Logan County,CO
G08077,Mesa County,CO
G08079,Mineral County,CO
G08081,Moffat County,CO
G08083,Montezuma County,CO
G08085,Montrose County,CO
G08087,Morgan County,CO
G08089,Otero County,CO
G08091,Ouray County,CO
G08093,Park County,CO
G08095,Phillips County,CO
G08097,Pitkin County,CO
G08099,Prowers County,CO
G08101,Pueblo County,CO
G08103,Rio Blanco County,CO
G08105,Rio Grande County,CO
G08107,Routt County,CO
G08109,Saguache County,CO
G08111,San Juan County,CO
G08113,San Miguel County,CO
G08115,Sedgwick County,CO
G08117,Summit County,CO
G08119,Teller County,CO
G08121,Washington County,CO
G08123,Weld County,CO
G08125,Yuma County,CO
G09001,Fairfield County,CT
G09003,Hartford County,CT
G09005,Litchfield County,CT
G09007,Middlesex County,CT
G09009,New Haven County,CT
G09011,New London County,CT
G09013,Tolland County,CT
G09015,Windham County,CT
G10001,Kent County,DE
G10003,New Castle County,DE
G10005,Sussex County,DE
G11001,District of Columbia,DC
G12001,Alachua County,FL
G12003,Baker County,FL
G12005,Bay County,FL
G12007,Bradford County,FL
G12009,Brevard County,FL
G12011,Broward County,FL
G12013,Calhoun County,FL
G12015,Charlotte County,FL
G12017,Citrus County,FL
G12019,Clay County,FL
G12021,Collier County,FL
G12023,Columbia County,FL
G12027,DeSoto County,FL
G12029,Dixie County,FL
G12031,Duval County,FL
G12033,Escambia County,FL
G12035,Flagler County,FL
G12037,Franklin County,FL
G12039,Gadsden County,FL
G12041,Gilchrist County,FL
G12043,Glades County,FL
G12045,Gulf County,FL
G12047,Hamilton County,FL
G12049,Hardee County,FL
G12051,Hendry County,FL
G12053,Hernando County,FL
G12055,Highlands County,FL
G12057,Hillsborough County,FL
G12059,Holmes County,FL
G12061,Indian River County,FL
G12063,Jackson County,FL
G12065,Jefferson County,FL
G12067,Lafayette County,FL
G12069,Lake County,FL
G12071,Lee County,FL
G12073,Leon County,FL
G12075,Levy County,FL
G12077,Liberty County,FL
G12079,Madison County,FL
G12081,Manatee County,FL
G12083,Marion County,FL
G12085,Martin County,FL
G12086,Miami-Dade County,FL
G12087,Monroe County,FL
G12089,Nassau County,FL
G12091,Okaloosa County,FL
G12093,Okeechobee County,FL
G12095,Orange County,FL
G12097,Osceola County,FL
G12099,Palm Beach County,FL
G12101,Pasco County,FL
G12103,Pinellas County,FL
G12105,Polk County,FL
G12107,Putnam County,FL
G12109,St. Johns County,FL
G12111,St. Lucie County,FL
G12113,Santa Rosa County,FL
G12115,Sarasota County,FL
G12117,Seminole County,FL
G12119,Sumter County,FL
G12121,Suwannee County,FL
G12123,Taylor County,FL
G12125,Union County,FL
G12127,Volusia County,FL
G12129,Wakulla County,FL
G12131,Walton County,FL
G12133,Washington County,FL
G13001,Appling County,GA
G13003,Atkinson County,GA
G13005,Bacon County,GA
G13007,Baker County,GA
G13009,Baldwin County,GA
G13011,Banks County,GA
G13013,Barrow County,GA
G13015,Bartow County,GA
G13017,Ben Hill County,GA
G13019,Berrien County,GA
G13021,Bibb County,GA
G13023,Bleckley County,GA
G13025,Brantley County,GA
G13027,Brooks County,GA
G13029,Bryan County,GA
G13031,Bulloch County,GA
G13033,Burke County,GA
G13035,Butts County,GA
G13037,Calhoun County,GA
G13039,Camden County,GA
G13043,Candler County,GA
G13045,Carroll County,GA
G13047,Catoosa County,GA
G13049,Charlton County,GA
G13051,Chatham County,GA
G13053,Chattahoochee County,GA
