id,name
No_Drivers+High_Income+Small_Town+SUV+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Small Town, Class = SUV, Technology = BEV 300"
No_Drivers+High_Income+Small_Town+Pickup+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Small Town, Class = Pickup, Technology = BEV 100"
No_Drivers+High_Income+Small_Town+Pickup+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Small Town, Class = Pickup, Technology = BEV 300"
No_Drivers+High_Income+Rural+Compact+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Rural, Class = Compact, Technology = BEV 100"
No_Drivers+High_Income+Rural+Compact+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Rural, Class = Compact, Technology = BEV 300"
No_Drivers+High_Income+Rural+Midsize+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Rural, Class = Midsize, Technology = BEV 100"
No_Drivers+High_Income+Rural+Midsize+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Rural, Class = Midsize, Technology = BEV 300"
No_Drivers+High_Income+Rural+SUV+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Rural, Class = SUV, Technology = BEV 100"
No_Drivers+High_Income+Rural+SUV+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Rural, Class = SUV, Technology = BEV 300"
No_Drivers+High_Income+Rural+Pickup+BEV_100,"Composition = No Drivers, Income = High Income, Urbanity = Rural, Class = Pickup, Technology = BEV 100"
No_Drivers+High_Income+Rural+Pickup+BEV_300,"Composition = No Drivers, Income = High Income, Urbanity = Rural, Class = Pickup, Technology = BEV 300"
Single_Driver+Low_Income+Urban+Compact+BEV_100,"Composition = Single Driver, Income = Low Income, Urbanity = Urban, Class = Compact, Technology = BEV 100"
Single_Driver+Low_Income+Urban+Compact+BEV_300,"Composition = Single Driver, Income = Low Income, Urbanity = Urban, Class = Compact, Technology = BEV 300"
Single_Driver+Low_Income+Urban+Midsize+BEV_100,"Composition = Single Driver, Income = Low Income, Urbanity = Urban, Class = Midsize, Technology = BEV 100"
Single_Driver+Low_Income+Urban+Midsize+BEV_300,"Composition = Single Driver, Income = Low Income, Urbanity = Urban, Class = Midsize, Technology = BEV 300"
